Store_ID,Close_date,SALES,Pop_45to50,Hisp_pop,Cauc_pop,Af_Am_pop,Asian_pop,Single_pop,Married_pop,Inc_40Kto100K,Inc_GT_100K,per_cap_inc,avg_inc,Educ_Bachelors,Educ_GE_Master,Occ_business,Occ_financial,Occ_computer,Occ_engineer,Occ_social_science,Occ_repair,played_baseball,played_basketball,played_bowling,played_football,played_hockey,played_volleyball,played_yoga,exercise_regularly,restaurant_score,night_life_score,music,football,baseball,basketball,soccer,university,CC,DT,BT,champ,stand_alone,strip_mall,life_style,pop_growth,region,Hooters,TP,BWW,Metrics
12,,1881478.03,59,288,5236,102,175,1873,1927,192,31872,30871,61480.55,813,220,143,88,156,42,6,30,88.5822,92.6565,98.0856,86.6764,94.911,93.3759,116.4314,102.5233,104.8171,121.9657,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,2,9
13,,1912344.94,94,492,7791,406,616,2231,3639,377,45516,45978,107643.68,2366,1051,273,338,406,117,88,3,88.2644,97.4073,103.2666,86.8397,93.6011,88.5571,148.1483,120.9744,98.6124,132.0397,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,2,9
14,,1973373.43,464,4573,11193,1184,742,6808,2835,1167,64080,44702,75929.69,3279,1857,397,321,465,185,70,51,94.5709,88.6206,88.2018,91.52,107.0441,102.1145,160.3718,119.784,76.1651,133.7101,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,1,9
15,,1978713.99,168,256,7432,297,496,2386,3359,489,27557,28294,70633.37,889,242,64,108,92,127,46,70,90.0045,89.2814,95.8433,87.7295,94.2281,88.4136,92.7734,97.3932,97.2039,106.348,0,0,0,0,1,1,1,no,high,Y,0,1,0,4,MWest,2,0,1,8
16,,2004258.99,44,1196,15108,953,733,11675,1707,147,22682,13684,35859.25,1384,589,148,60,212,107,155,4,102.8131,92.194,81.7808,95.1652,76.3165,102.7454,125.9321,97.0181,75.295,180.1905,0,0,1,0,0,1,1,no,low,N,0,1,0,4,MWest,2,0,1,8
17,,2048109.1,311,2201,24015,266,1441,16779,4359,1067,39243,28979,69615.59,5411,3126,141,306,936,511,552,38,101.553,65.8006,70.2684,65.5371,47.8914,117.4655,134.7326,112.6804,60.9717,141.2884,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,1,8
18,,2048596.17,381,1733,12337,509,884,4921,4884,1176,24481,27386,65514.8,1363,331,135,163,95,94,30,93,97.4114,98.0641,93.0493,98.0925,98.6981,88.079,112.9486,99.8682,105.9283,110.011,0,0,0,0,0,1,1,no,low,N,0,1,0,4,MWest,2,0,1,8
19,,2078994.47,25,1251,4527,25,167,1199,2328,56,30014,29853,85642.84,705,252,30,54,221,105,17,7,105.5641,102.9404,105.1075,101.911,122.1196,105.8157,118.3023,106.4947,106.2353,111.9825,0,0,0,0,1,1,1,yes,high,N,0,1,0,4,MWest,2,0,1,8
20,,2093501.69,110,705,7573,713,582,2239,3558,357,22452,32392,81809.67,1783,620,139,174,271,230,44,49,99.1445,108.3345,116.6657,97.3758,103.7138,101.3018,137.3579,109.3979,107.4236,137.6464,0,0,0,0,0,1,1,no,low,N,0,1,0,4,MWest,2,0,1,8
21,,2157190.07,103,493,7404,392,501,1902,3707,274,48042,47142,115135.03,2240,1010,120,191,412,127,93,2,81.8753,83.14,96.2531,79.227,79.5665,90.648,162.2786,120.0548,97.1963,133.4123,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,1,8
22,,2168671.76,116,866,10952,240,279,5573,2731,235,30805,25454,48462.47,2000,916,154,93,242,219,74,20,95.2569,89.0359,89.0077,88.1795,78.9396,97.3116,122.2548,101.279,91.325,153.674,1,0,0,0,0,1,1,no,low,Y,0,1,0,4,MWest,2,0,1,7
23,,2174972.67,0,41,1376,38,23,749,390,0,33947,30057,54952.61,244,31,16,22,20,14,11,0,79.667,84.1224,81.8307,80.9231,51.4437,75.048,140.9055,103.834,79.2136,195.6097,0,0,0,0,0,1,1,no,low,N,0,1,0,4,MWest,1,0,1,7
24,,2179588.89,96,165,5877,107,146,1496,2801,321,37049,40219,78014.48,1051,569,109,95,75,58,21,19,85.1276,86.4207,88.6212,87.9317,95.8387,80.5045,110.5362,108.222,99.9853,110.3558,1,0,0,0,0,1,1,no,high,N,0,1,0,3,MWest,1,0,1,7
25,,2180658.04,78,180,3721,759,86,881,2149,313,45309,40479,88939.72,782,423,28,87,56,52,22,4,72.4808,76.6863,83.6033,77.064,72.4028,77.7418,118.4285,111.4728,107.7928,113.6722,0,0,0,0,0,1,1,no,low,N,0,1,0,3,MWest,1,0,1,7
26,,2189938.21,49,922,9928,265,424,3068,3793,147,28856,25741,62254.11,1264,472,154,132,102,142,16,1,93.5742,92.1426,97.4276,91.3253,94.1956,86.9811,103.9605,99.7088,108.4257,112.3639,0,0,0,0,0,1,1,no,high,N,0,1,0,3,e,1,0,1,7
27,,2195956.56,103,4366,10449,215,348,2983,4705,325,21410,22028,61882.07,1121,317,159,115,166,115,8,30,97.5024,102.0528,98.6966,96.1675,107.5878,98.0079,107.3791,99.2811,107.5466,112.8716,0,0,0,0,0,1,1,no,low,N,0,1,0,3,e,1,0,1,6
28,,2237197.68,194,255,9251,304,245,2766,4239,651,28230,29564,70505.03,1837,748,141,206,181,139,48,28,86.2293,80.3509,91.5827,81.2368,82.5268,91.9056,99.7262,103.107,95.1899,110.7061,0,0,0,1,1,1,1,no,high,N,0,1,0,3,e,1,0,1,6
